lat,lng,value
41,-4,0.02
-17,-54,0.006
-6,27,0.008
-35,-57,0.011
30,122,0.149
45,8,0.069
60,61,0.001
41,-119,0
-35,150,0.001
17,-1,0.001
-6,-66,0.001
-26,-63,0.001
8,9,0.032
41,-102,0
51,36,0.009
32,2,0.001
28,-3,0
27,38,0.003
4,35,0.002
22,-105,0.007
21,100,0.009
-1,120,0.018
46,32,0.01
8,-81,0.007
19,36,0.001
-2,28,0.003
-5,38,0.007
-10,151,0.001
22,-15,0
37,29,0.028
-2,139,0
-8,-62,0
10,107,0.361
-10,34,0.031
-2,12,0.001
-34,28,0.009
56,48,0.033
52,51,0.002
-12,-67,0
13,12,0.007
9,5,0.007
46,89,0.001
-14,-56,0.001
-34,-53,0.002
56,95,0.001
-38,-62,0.001
47,25,0.016
19,96,0.04
34,-106,0.004
-36,-61,0.003
-23,-59,0.001
-24,36,0.017
44,-100,0.001
58,59,0.001
37,97,0.001
34,37,0.041
15,25,0.001
10,31,0.009
47,123,0.014
5,-76,0.011
-33,29,0.017
38,-95,0.007
15,-86,0.015
49,18,0.041
25,40,0.004
2,37,0.001
1,30,0.012
16,104,0.064
-22,31,0.004
49,-97,0.024
26,94,0.067
25,-107,0.008
40,105,0
2,-72,0.001
1,11,0.004
-18,-69,0.001
16,-9,0.002
50,83,0.006
12,-6,0.012
-31,30,0.024
40,0,0.005
36,3,0.043
29,122,0.142
-31,-53,0.003
6,-61,0.001
39,100,0.009
54,66,0.002
50,53,0.001
30,60,0.004
26,47,0.004
6,46,0.003
3,16,0.002
17,-67,0.001
-21,18,0
51,109,0.003
12,103,0.021
45,27,0.022
22,84,0.054
-3,15,0.001
-7,-44,0.002
45,-84,0.003
42,142,0.029
60,25,0.031
32,103,0.003
31,-100,0.004
28,42,0.001
-30,-68,0
55,67,0.002
51,64,0.001
-3,109,0.002
31,61,0.001
9,101,0.001
27,66,0.002
42,-80,0.011
4,-1,0.008
21,88,0.114
-1,28,0.002
-39,-63,0
-5,-47,0.004
46,76,0.001
43,118,0.005
-48,-67,0
55,101,0.001
-10,-63,0.005
46,-101,0
57,72,0.001
37,65,0.005
33,62,0.002
28,102,0.01
9,36,0.027
37,-78,0.005
-4,-73,0.008
13,-16,0.037
43,-95,0.003
24,29,0
0,43,0.006
-23,36,0.004
-5,141,0.002
13,125,0.009
47,45,0.001
23,71,0.014
15,108,0.007
11,33,0.004
-43,-74,0.001
-9,-42,0.002
25,102,0.042
-13,27,0.003
58,15,0.004
35,112,0.109
37,117,0.171
34,73,0.153
-4,132,0
49,93,0
11,-14,0.01
48,-116,0.002
-9,113,0.103
5,-56,0.001
1,-55,0
53,49,0.008
49,46,0.003
29,47,0.01
25,52,0.019
-19,35,0.004
68,31,0
49,-101,0
48,106,0
40,77,0.003
39,-90,0.005
36,16,0.003
50,119,0.003
12,22,0.004
-7,116,0.003
11,93,0.001
-12,44,0.013
59,34,0.003
39,55,0.004
36,-97,0.006
35,60,0.016
30,-91,0.022
-8,-40,0.01
7,38,0.103
8,99,0.017
54,30,0.005
30,24,0.001
7,-9,0.008
6,74,0.001
17,-71,0.001
-3,-66,0.001
-26,31,0.006
-27,-52,0.013
45,63,0.001
60,6,0.012
41,68,0.002
17,74,0.072
-6,-45,0.004
30,98,0.002
45,-112,0.001
42,114,0.004
-16,-64,0.001
21,-106,0.001
54,79,0.001
32,75,0.262
28,70,0.059
8,17,0.012
-16,15,0.006
55,39,0.056
6,118,0.003
31,33,0.026
9,81,0.023
42,-108,0
-2,-47,0.016
-6,152,0.004
5,37,0.009
65,26,0.003
43,82,0.012
45,131,0.047
-4,152,0.001
22,58,0.005
-35,119,0
46,-73,0.005
-11,-68,0.005
-14,14,0.007
-15,-75,0.01
0,105,0.005
52,12,0.024
28,130,0.003
24,82,0.099
-24,-58,0
-28,-55,0.024
43,-3,0.024
20,76,0.097
-24,-43,0.022
-28,24,0.004
43,14,0.032
23,107,0.044
38,-1,0.017
-25,-68,0.002
14,50,0.004
25,114,0.058
-18,146,0.002
34,45,0.015
49,89,0
48,-96,0.001
-18,33,0.013
53,37,0.007
29,19,0.001
44,114,0
5,25,0
48,126,0.03
63,16,0.001
40,49,0.016
39,10,0.018
36,60,0.043
35,7,0.027
16,47,0.002
39,27,0.015
27,77,0.14
29,98,0.001
41,130,0.027
54,26,0.028
53,105,0.001
-35,-70,0.016
30,36,0.009
6,38,0.06
-25,-55,0.005
-19,-49,0.008
64,31,0.001
41,32,0.015
-29,-58,0.003
36,120,0.186
17,38,0.005
32,112,0.095
-7,28,0.004
45,-76,0.004
41,-83,0.032
52,108,0.001
51,23,0.035
5,27,0.001
-16,51,0.005
55,11,0.015
51,8,0.205
32,-114,0.009
31,117,0.123
46,1,0.015
18,-14,0.001
-8,-69,0
-6,124,0.004
42,23,0.02
18,33,0.002
-1,-75,0.001
33,5,0.009
-14,50,0.008
-18,-53,0.001
-15,-47,0.001
22,101,0.022
0,125,0.012
37,-7,0.011
52,40,0.027
13,39,0.029
47,-109,0
-10,-42,0.003
24,118,0.14
-33,117,0.004
56,92,0.001
33,-93,0.004
47,36,0.038
44,18,0.022
43,-7,0.008
20,40,0.005
-4,30,0.102
47,5,0.008
44,-95,0.003
62,17,0.003
23,111,0.108
20,-105,0.009
38,27,0.026
35,103,0.02
15,36,0.014
14,-3,0.014
10,12,0.042
47,86,0.001
38,-122,0.036
49,117,0.001
29,2,0
-13,-76,0.084
-29,-51,0.009
16,109,0.022
53,9,0.053
-23,151,0
49,6,0.019
48,19,0.032
44,78,0.002
38,104,0.008
35,-94,0.011
12,-1,0.06
59,-151,0
40,21,0.019
-12,-44,0.002
40,-84,0.015
-28,153,0.022
39,127,0.06
17,83,0.098
16,-94,0.007
50,18,0.029
27,105,0.084
7,46,0.003
41,94,0.001
51,104,0.001
50,-127,0
30,0,0.001
7,-65,0.001
41,-5,0.007
3,-60,0.005
21,-16,0.001
-17,-55,0.001
69,89,0.01
30,111,0.049
8,123,0.004
45,7,0.017
-35,149,0.001
17,2,0
-26,-62,0.001
64,178,0
41,-103,0.002
51,35,0.007
32,3,0.002
28,-2,0
27,37,0.002
4,36,0.002
22,-104,0.002
21,99,0.008
-39,-72,0.017
-52,-71,0.001
46,29,0.035
8,-80,0.011
22,39,0
19,35,0.001
-2,25,0.002
-5,37,0.008
42,-5,0.012
37,32,0.021
-10,-77,0.014
10,108,0.059
-10,39,0.004
-14,-42,0.006
-34,25,0.001
56,73,0.001
52,52,0.002
-44,-65,0.002
13,11,0.01
9,8,0.028
46,90,0.001
24,26,0
-14,-59,0
56,96,0.005
47,24,0.026
19,95,0.015
34,-109,0.001
-23,-56,0.003
-24,29,0.01
-43,-63,0
58,60,0.007
38,55,0.001
35,83,0.001
37,100,0.001
34,38,0.009
15,24,0.001
14,-23,0.002
10,32,0.003
47,122,0.008
5,-77,0.002
38,-94,0.027
15,-87,0.04
49,17,0.04
48,-72,0.002
-28,-50,0.008
25,39,0.004
2,38,0.001
1,29,0.003
16,81,0.214
-22,32,0.005
49,-94,0.001
48,71,0.001
26,107,0.16
25,-104,0.002
40,106,0.001
2,-75,0.016
36,37,0.053
-18,-68,0.002
16,-8,0.002
50,84,0.005
12,-5,0.023
-21,-48,0.016
-31,29,0.017
40,-7,0.017
36,4,0.157
35,15,0.013
29,121,0.163
40,-112,0.006
39,99,0.012
54,71,0.002
50,54,0.001
30,57,0.007
26,48,0.002
3,15,0.002
8,81,0.041
17,-64,0.002
-21,17,0.001
51,116,0.002
12,104,0.018
-7,-74,0.001
45,22,0.028
6,94,0
-3,42,0
-7,-45,0.001
30,91,0.001
-27,24,0.003
45,-85,0.001
60,26,0.022
-30,-56,0.005
32,104,0.005
-33,-66,0
31,-101,0.001
28,43,0.001
-30,-71,0.003
55,66,0.018
51,63,0.001
-3,112,0.008
31,76,0.222
28,-102,0.002
27,65,0.002
42,-83,0.144
21,87,0.124
-1,27,0.002
-3,-47,0.004
-2,-58,0
-5,-40,0.013
43,117,0.003
45,90,0.001
42,64,0.001
-1,12,0.001
46,-100,0.003
57,71,0.001
37,68,0.03
33,61,0.003
28,103,0.033
9,35,0.015
-15,41,0.024
56,13,0.012
37,-79,0.016
-4,-72,0.001
33,-82,0.013
9,-12,0.018
46,118,0
43,-88,0.029
-9,37,0.005
-4,139,0.006
0,44,0.005
-23,35,0.003
-30,-52,0.016
23,70,0.012
1,110,0.018
38,-28,0.001
15,107,0.009
11,40,0.066
-9,-43,0.001
25,101,0.069
-13,26,0.003
61,10,0.001
58,16,0.009
35,111,0.111
37,120,0.042
34,74,0.079
15,-4,0.005
49,96,0
11,-15,0.016
48,-123,0.016
5,-57,0.002
20,110,0.022
53,52,0.005
49,45,0.002
29,74,0.07
25,51,0.003
2,10,0.001
-19,30,0.012
68,32,0
49,-66,0
48,107,0.008
26,127,0
-32,-71,0.002
40,78,0.004
39,-91,0.006
50,120,0.001
12,23,0.01
-7,115,0.002
11,100,0.009
-12,29,0.005
59,33,0.004
39,54,0.003
36,-96,0.006
35,59,0.009
30,-90,0.024
-8,-47,0.002
7,37,0.051
-18,17,0.006
-17,31,0.01
-20,48,0.052
54,35,0.003
7,-10,0.007
6,15,0.005
-3,-67,0
-7,-62,0
-26,32,0.029
-27,-53,0.013
60,7,0.001
41,67,0.001
21,72,0.085
36,77,0.001
-6,-44,0.008
42,111,0.002
-16,-55,0.009
54,80,0.001
-40,-73,0.004
32,76,0.118
28,71,0.094
27,-12,0.003
8,18,0.008
-16,16,0.004
55,38,0.468
31,32,0.189
42,-111,0.001
-2,-46,0.006
-6,149,0.001
65,25,0.001
43,81,0.005
45,126,0.051
52,-114,0.001
13,-83,0.001
9,-78,0.001
46,-72,0.011
-11,-69,0.001
-15,-72,0.004
57,19,0.002
52,-3,0.015
-10,-69,0
24,83,0.077
34,121,0.024
-24,-57,0.003
-28,-54,0.013
43,4,0.031
-36,-70,0.005
13,100,0.054
-28,25,0.008
43,13,0.034
23,106,0.032
38,0,0.052
25,113,0.096
34,46,0.021
49,92,0
-8,113,0.489
-18,34,0.003
53,40,0.008
29,14,0.001
44,115,0.001
5,28,0.001
-20,-51,0.002
48,127,0.018
63,15,0.001
40,50,0.057
39,9,0.015
36,45,0.026
35,6,0.037
16,48,0
39,26,0.001
17,122,0.042
50,11,0.038
27,84,0.181
29,97,0.001
0,98,0.01
41,129,0.02
-36,174,0.002
30,33,0.036
6,43,0.004
-30,31,0.118
